review_id,Review Text,in_round2,Rating,pred_label,pred_conf,split_hint
0,"The material, deep color and design are gorgeous. however, the dress is just too bulky for my 5'2"" and 110lb frame. i ordered a 0p, and it just wasn't flattering on me. it's somewhat tent-shaped so the fact that it's not at all fitted and has a thick lining made me look larger than i actually am. i'm so disappointed because the dress really is beautiful otherwise.",False,3,neutral,0.5747382,
1,"This sweater looks soft and flowy on the model, but in the store it is rather stiff lace in the back and very plain in the front. i did not like the ribbing on the front bottom of the sweater because it pulled in places and didn't lie flat. way too expensive for what you are getting.",False,3,neutral,0.6685491,
2,"This top was so beautiful, exactly like the image shows but the waist was so tight. it was uncomfortable enough that i am going to return it. sad because the top and arms fit great. i am an hourglass so my waist is very small compared to my top and bottom. oh well, next time!!",False,3,neutral,0.61249334,
3,"I ordered this dress in my usual size and unfortunately when it arrived, it was damaged and also a little too big. the fabric had lots of pulls in it like it had been tried on many times.

i called customer service and requested a replacement in a smaller size. it fit great and looked beautiful but there was a rip in the sleeve.

this is a gorgeous dress and very flattering and well fitting (if you size down), but i had to return both and wear something else to a holiday party.

i'd only recomme",False,3,neutral,0.7423438,
4,"I am 5'2"" and 115lbs......ordered the blue motif in small petite. they were not only too big overall but were way too long. i had to roll them up several times to get the right length. because of fabric design these would definitely have to be hemmed. i had to check tag because i thought for sure i got sent a regular length but they were petite. not sure if they are worth trying in a smaller size..... pants were really comfy but maybe too pajama like for my taste.",False,3,neutral,0.69884115,
5,"This is a shift dress, which is a great dress for many people, in a kind of man-repeller way. by saying that, i mean, a really pretty dress that can show off amazing shoes, good legs, a beautiful face and hair. this is not a body con dress. however, when you do such a high neckline and boxy sleeves, you do no one any favors. everyone has a nice neck and decolletage and collarbone. everyone. the neckline needs to open up a bit....i'm not saying v-neck, just a bit lower than this, because it makes",False,3,neutral,0.53911126,
6,"I ordered a medium and it fit perfectly. i am anywhere from a size 6-8. 5'9, 155lbs.
sadly, i am returning this dress because the horizontal stripes make my hips look huge.",False,3,positive,0.5126931,
7,I love the style of this swimsuit on the model. when i purchased is i didn't realize that there was no support (wire/ padding/ lining) in the chest. the rest of the swimsuit was great but i did not like the look in the chest - it provided no support. i ended up returning it.,False,3,neutral,0.53894323,
8,This is a gorgeous dress. i got the red version. it's stunning...the zipper is trash however. i'm scared of getting stuck in it like another reviewer.,False,3,neutral,0.6708334,
9,"I'm a consistent size 6 (ordered a small) with a pretty athletic build (wide shoulders and strong arms) and this dress simply did not fit with those proportions. the sleeves and back were far too tight. additionally, the bow did not cover my bra strap, likely because it isn't made for someone my height. had to return.",True,3,neutral,0.6012974,
10,"First comment about this piece is that it runs unbelievably small, which is not in line with most retailer pieces. i had to size up two sizes to get the size to close, on top of being busty. the material is thin and mildly see thru, but i think the shape it cute and it had a unique look to it with the tiny gold buttons and non-collar top. i decided to keep it.",False,3,neutral,0.66787726,
11,"I picked up this t-shirt at my local retailer today, immediately drawn to the super cute, colorful graphics, and the unique stitching at the collar, saying ""giddy up!"" to go with the cowboys, horses, cacti, and movie camera, (unusually!). the graphics are way cuter in person, as compared to the weirdly wavy-distorted and unclear photos shown online. if all i had seen was these photos, i would never have even noticed or recognized the design. go to your local store to see this in person, and you wi",False,3,negative,0.65617734,
12,This looks great on the model and is probably beat suited for someone that is tall and thin with small hips.,False,3,neutral,0.5874124,
13,"It really is such a cute romper. took it on s trip to italy and it was airy and comfortable. that is in till i washed it. i'm in europe so there aren't dryers... washed it in cold water, line-dried it and it shrunk. significantly. it still fits but the top doesn't blouse over like it previously did. and the shorts feel really short. so disappointed. my advice would be to hand wash it in very cold water",False,3,negative,0.4995376,
14,There were no reviews when i ordered this tunic so nothing to help gauge fit. it is very cute but the fit is strange - very narrow in the shoulders and chest.,False,3,negative,0.68415403,
15,It's a very pretty top. a little tight in front at the bust. i'm giving it 3 stars because the fabric is very flimsy and looks cheap.,True,3,neutral,0.7277928,
16,I love this dress but when i put it on i was aghast! the chest was tight and the body was voluminous!! added the pounds which no wants! best left to the waify girls.,True,3,neutral,0.5520082,
17,"If you have muscular thighs, like me, these won't fit well. i'm usually a size 8-fitted/10-relaxed, i bought these in a large and the shins were the most relaxed part. had to return for not fitting well. but the quality of the product was nice.",False,3,neutral,0.70530945,
18,"I love the look of this dress but the length feels a little awkward which might be my height (5'4""). i'm thinking about having it altered, not sure if i will do that or return it. i love the colors and the back cut out, it may be a better length for taller individuals.",True,3,positive,0.5006722,
